 ,secID,ticker,exchangeCD,secShortName,secFullName,industryVersionCD,industry,industryID,industrySymbol,intoDate,outDate,isNew,industryID1,industryName1,industryID2,industryName2
6153,300020.XSHE,300020,XSHE,银江股份,银江股份有限公司,10303,申万行业分类,10303250202,710202,2015/11/2,2015/11/3,0,1030325,计算机,103032502,计算机应用
6154,300020.XSHE,300020,XSHE,银江股份,银江股份有限公司,10303,申万行业分类,10303250202,710202,2015/11/3,,1,1030325,计算机,103032502,计算机应用
6155,300020.XSHE,300020,XSHE,银江股份,银江股份有限公司,10303,申万行业分类,10303340301,470302,2009/10/16,2014/1/1,0,1030334,信息服务,103033403,计算机应用
6156,300021.XSHE,300021,XSHE,大禹节水,大禹节水集团股份有限公司,10303,申万行业分类,10303010601,110601,2009/1/12,2009/10/12,0,1030301,农林牧渔,103030106,农业综合
6157,300021.XSHE,300021,XSHE,大禹节水,大禹节水集团股份有限公司,10303,申万行业分类,10303010601,110601,2009/10/12,,1,1030301,农林牧渔,103030106,农业综合
6158,300022.XSHE,300022,XSHE,吉峰农机,吉峰农机连锁股份有限公司,10303,申万行业分类,10303230201,450401,2014/1/1,2015/1/25,0,1030323,商业贸易,103032302,专业零售
6159,300022.XSHE,300022,XSHE,吉峰农机,吉峰农机连锁股份有限公司,10303,申万行业分类,10303230201,450401,2015/1/25,2015/6/25,0,1030323,商业贸易,103032302,专业零售
6160,300022.XSHE,300022,XSHE,吉峰农机,吉峰农机连锁股份有限公司,10303,申万行业分类,10303230201,450401,2015/6/25,,1,1030323,商业贸易,103032302,专业零售
6161,300022.XSHE,300022,XSHE,吉峰农机,吉峰农机连锁股份有限公司,10303,申万行业分类,10303230502,450102,2009/10/16,2014/1/1,0,1030323,商业贸易,103032305,零售
6162,300023.XSHE,300023,XSHE,宝德股份,西安宝德自动化股份有限公司,10303,申万行业分类,10303090203,640203,2014/1/1,2017/7/9,0,1030309,机械设备,103030902,专用设备
6163,300023.XSHE,300023,XSHE,宝德股份,西安宝德自动化股份有限公司,10303,申万行业分类,10303220301,490301,2017/7/9,,1,1030322,非银金融,103032203,多元金融
6164,300023.XSHE,300023,XSHE,宝德股份,西安宝德自动化股份有限公司,10303,申万行业分类,10303300205,260205,2009/10/16,2014/1/1,0,1030330,机械设备,103033002,专用设备
6165,300024.XSHE,300024,XSHE,机器人,沈阳新松机器人自动化股份有限公司,10303,申万行业分类,10303090106,640106,2014/1/1,2015/10/26,0,1030309,机械设备,103030901,通用机械
6166,300024.XSHE,300024,XSHE,机器人,沈阳新松机器人自动化股份有限公司,10303,申万行业分类,10303090106,640106,2015/10/26,,1,1030309,机械设备,103030901,通用机械
6167,300024.XSHE,300024,XSHE,机器人,沈阳新松机器人自动化股份有限公司,10303,申万行业分类,10303300106,260106,2009/10/16,2014/1/1,0,1030330,机械设备,103033001,通用机械
6168,300025.XSHE,300025,XSHE,华星创业,杭州华星创业通信技术股份有限公司,10303,申万行业分类,10303270203,730203,2014/1/1,2016/8/4,0,1030327,通信,103032702,通信设备
6169,300025.XSHE,300025,XSHE,华星创业,杭州华星创业通信技术股份有限公司,10303,申万行业分类,10303270203,730203,2016/8/4,,1,1030327,通信,103032702,通信设备
6170,300025.XSHE,300025,XSHE,华星创业,杭州华星创业通信技术股份有限公司,10303,申万行业分类,10303320104,320104,2009/10/14,2014/1/1,0,1030332,信息设备,103033201,通信设备
6171,300026.XSHE,300026,XSHE,红日药业,天津红日药业股份有限公司,10303,申万行业分类,10303170102,370102,2009/1/16,2009/10/16,0,1030317,医药生物,103031701,化学制药
6172,300026.XSHE,300026,XSHE,红日药业,天津红日药业股份有限公司,10303,申万行业分类,10303170102,370102,2009/10/16,2015/11/2,0,1030317,医药生物,103031701,化学制药
6173,300026.XSHE,300026,XSHE,红日药业,天津红日药业股份有限公司,10303,申万行业分类,10303170102,370102,2015/11/2,2016/6/28,0,1030317,医药生物,103031701,化学制药
6174,300026.XSHE,300026,XSHE,红日药业,天津红日药业股份有限公司,10303,申万行业分类,10303170102,370102,2016/6/28,2017/6/29,0,1030317,医药生物,103031701,化学制药
6175,300026.XSHE,300026,XSHE,红日药业,天津红日药业股份有限公司,10303,申万行业分类,10303170201,370201,2017/6/29,,1,1030317,医药生物,103031702,中药
6176,300027.XSHE,300027,XSHE,华谊兄弟,华谊兄弟传媒股份有限公司,10303,申万行业分类,10303260102,720102,2014/1/1,2015/8/1,0,1030326,传媒,103032601,文化传媒
